userGroup,totalTime,score,totalQuestions,questionTimes,answers,questionCorrectness,susTotalScore,susScores
B,26:05:00,3,5,"[""02:04"",""03:07"",""10:18"",""00:36"",""09:58""]","[[""option_1""],[""option_2""],[""option_3""],[""option_2"",""option_3""],[""option_3""]]","[true,true,false,true,false]",82.5,"{""question1"":5,""question2"":2,""question3"":4,""question4"":4,""question5"":5,""question6"":1,""question7"":5,""question8"":1,""question9"":4,""question10"":2}"
A,16:30,4,5,"[""02:01"",""04:37"",""03:29"",""02:05"",""04:15""]","[[""option_1""],[""option_2""],[""option_2"",""option_3""],[""option_1""],[""option_1"",""option_3""]]","[true,true,true,false,true]",60,"{""question1"":4,""question2"":2,""question3"":3,""question4"":2,""question5"":3,""question6"":2,""question7"":3,""question8"":2,""question9"":3,""question10"":4}"
B,43:08:00,3,5,"[""06:11"",""08:36"",""11:01"",""07:33"",""09:45""]","[[""option_1""],[""option_2""],[""option_1"",""option_3""],[""option_2"",""option_3""],[""option_2""]]","[true,true,false,true,false]",70,"{""question1"":5,""question2"":2,""question3"":5,""question4"":3,""question5"":5,""question6"":2,""question7"":5,""question8"":1,""question9"":1,""question10"":5}"
B,32:36:00,4,5,"[""04:11"",""05:26"",""06:54"",""03:02"",""13:00""]","[[""option_1""],[""option_2""],[""option_2"",""option_3""],[""option_2"",""option_3""],[""option_2"",""option_3""]]","[true,true,true,true,false]",70,"{""question1"":5,""question2"":2,""question3"":4,""question4"":2,""question5"":4,""question6"":1,""question7"":3,""question8"":2,""question9"":3,""question10"":4}"
A,44:07:00,2,5,"[""05:29"",""16:30"",""09:58"",""06:09"",""05:59""]","[[""option_1""],[""option_2"",""option_3""],[""option_3""],[""option_1"",""option_2""],[""option_1"",""option_3""]]","[true,false,false,false,true]",77.5,"{""question1"":4,""question2"":2,""question3"":5,""question4"":3,""question5"":5,""question6"":2,""question7"":4,""question8"":2,""question9"":4,""question10"":2}"
B,32:19:00,4,5,"[""03:05"",""03:46"",""05:04"",""02:57"",""17:24""]","[[""option_1""],[""option_2""],[""option_2"",""option_3""],[""option_2"",""option_3""],[""option_1"",""option_2""]]","[true,true,true,true,false]",82.5,"{""question1"":5,""question2"":1,""question3"":5,""question4"":3,""question5"":4,""question6"":2,""question7"":5,""question8"":1,""question9"":3,""question10"":2}"
A,65:09:00,3,5,"[""06:20"",""21:45"",""07:37"",""24:44"",""04:40""]","[[""option_1""],[""option_2""],[""option_2"",""option_3""],[""option_1"",""option_2""],[""option_1"",""option_2"",""option_3""]]","[true,true,true,false,false]",75,"{""question1"":1,""question2"":1,""question3"":4,""question4"":4,""question5"":4,""question6"":2,""question7"":5,""question8"":1,""question9"":5,""question10"":1}"
A,37:31:00,1,5,"[""04:24"",""08:06"",""03:02"",""06:30"",""15:27""]","[[""option_1""],[],[""option_3""],[""option_1""],[""option_1"",""option_2""]]","[true,false,false,false,false]",52.5,"{""question1"":3,""question2"":2,""question3"":3,""question4"":5,""question5"":5,""question6"":1,""question7"":3,""question8"":4,""question9"":3,""question10"":4}"
